datetime,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Air_Temperature_celsius,Relative_Humidity_percent,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Surface_Level_Barometric_Pressure_pascal,Precipitation_millimeterPerDay
2017-01-01 00:00:00,0.00,-5.90,87.40,0.00,88780,0.00
2017-01-01 01:00:00,0.11,-6.10,88.00,0.00,88750,0.00
2017-01-01 02:00:00,0.00,-6.10,87.20,0.00,88700,0.00
2017-01-01 03:00:00,0.11,-6.10,86.50,0.00,88640,0.00
2017-01-01 04:00:00,0.11,-6.30,86.60,0.00,88570,0.00
2017-01-01 05:00:00,0.11,-6.50,87.80,0.00,88520,0.00
2017-01-01 06:00:00,0.00,-6.30,84.40,0.00,88480,0.00
2017-01-01 07:00:00,0.00,-6.50,86.50,0.00,88450,0.00
2017-01-01 08:00:00,0.00,-6.70,88.60,0.00,88440,0.00
2017-01-01 09:00:00,0.00,-6.60,88.40,0.00,88430,0.00
2017-01-01 10:00:00,0.00,-6.40,86.30,0.00,88410,0.00
2017-01-01 11:00:00,0.00,-6.20,86.00,11.11,88390,0.00
2017-01-01 12:00:00,0.00,-5.80,86.80,11.11,88330,0.00
2017-01-01 13:00:00,0.11,-4.50,80.70,11.11,88240,0.00
2017-01-01 14:00:00,0.11,-3.50,71.80,11.11,88170,0.00
2017-01-01 15:00:00,0.54,-2.20,62.80,11.11,88130,0.00
2017-01-01 16:00:00,0.54,-2.10,60.40,0.00,88150,0.00
2017-01-01 17:00:00,0.22,-3.20,68.00,0.00,88130,0.00
2017-01-01 18:00:00,0.22,-4.20,74.10,0.00,88150,0.00
2017-01-01 19:00:00,0.22,-4.50,74.50,0.00,88160,0.00
2017-01-01 20:00:00,0.11,-5.20,79.00,0.00,88160,0.00
2017-01-01 21:00:00,0.11,-5.70,80.80,0.00,88170,0.00
2017-01-01 22:00:00,0.00,-6.00,82.30,0.00,88160,0.00
2017-01-01 23:00:00,0.00,-6.50,85.10,0.00,88150,0.00
2017-01-02 00:00:00,0.11,-6.60,85.20,0.00,88160,0.00
2017-01-02 01:00:00,0.32,-6.60,83.90,0.00,88130,0.00
2017-01-02 02:00:00,0.11,-6.80,84.10,0.00,88100,0.00
2017-01-02 03:00:00,0.32,-7.00,82.40,0.00,88090,0.00
2017-01-02 04:00:00,0.32,-7.10,83.00,0.00,88060,0.00
2017-01-02 05:00:00,0.22,-7.30,84.50,0.00,88030,0.00
2017-01-02 06:00:00,0.00,-7.50,86.00,0.00,88000,0.00
2017-01-02 07:00:00,0.11,-7.70,86.60,0.00,87980,0.00
2017-01-02 08:00:00,0.11,-7.60,87.20,0.00,87980,0.00
2017-01-02 09:00:00,0.22,-7.60,86.60,0.00,87980,0.00
2017-01-02 10:00:00,0.22,-7.00,84.00,0.00,87970,0.00
2017-01-02 11:00:00,0.11,-6.90,84.80,11.11,87970,0.00
2017-01-02 12:00:00,0.32,-6.10,81.80,11.11,87890,0.00
2017-01-02 13:00:00,0.43,-4.80,72.60,13.89,87800,0.00
2017-01-02 14:00:00,0.32,-3.40,68.50,66.67,87720,0.00
2017-01-02 15:00:00,0.43,-2.80,66.20,27.78,87690,0.00
2017-01-02 16:00:00,0.43,-2.00,65.50,41.67,87680,0.00
2017-01-02 17:00:00,0.32,-2.70,67.50,2.78,87650,0.00
2017-01-02 18:00:00,0.43,-3.30,69.90,0.00,87650,0.00
2017-01-02 19:00:00,0.22,-3.30,70.20,0.00,87650,0.00
2017-01-02 20:00:00,0.22,-3.40,73.30,0.00,87650,0.00
2017-01-02 21:00:00,0.32,-3.50,72.50,0.00,87660,0.00
2017-01-02 22:00:00,0.54,-3.50,69.60,0.00,87670,0.00
2017-01-02 23:00:00,0.32,-3.30,71.20,0.00,87680,0.00
2017-01-03 00:00:00,0.43,-3.10,73.10,0.00,87650,0.00
2017-01-03 01:00:00,0.65,-3.10,74.20,0.00,87650,0.00
2017-01-03 02:00:00,0.43,-3.00,73.60,0.00,87660,0.00
2017-01-03 03:00:00,0.43,-2.90,70.00,0.00,87730,0.00
2017-01-03 04:00:00,0.65,-3.20,68.10,0.00,87790,0.00
2017-01-03 05:00:00,0.86,-4.00,68.80,0.00,87830,0.00
2017-01-03 06:00:00,0.86,-4.50,67.70,0.00,87880,0.00
2017-01-03 07:00:00,0.86,-5.10,67.50,0.00,87950,0.00
2017-01-03 08:00:00,0.75,-5.80,67.40,0.00,88000,0.00
2017-01-03 09:00:00,0.86,-6.10,64.20,0.00,88090,0.00
2017-01-03 10:00:00,0.97,-6.10,62.50,5.56,88150,0.00
2017-01-03 11:00:00,0.75,-6.00,62.60,11.11,88180,0.00
2017-01-03 12:00:00,0.54,-6.00,62.90,11.11,88150,0.00
2017-01-03 13:00:00,0.65,-5.40,54.60,11.11,88140,0.00
2017-01-03 14:00:00,0.86,-4.40,44.80,11.11,88090,0.00
2017-01-03 15:00:00,1.08,-3.70,43.50,11.11,88080,0.00
2017-01-03 16:00:00,0.97,-3.90,49.60,5.56,88090,0.00
2017-01-03 17:00:00,0.86,-4.50,53.60,0.00,88120,0.00
2017-01-03 18:00:00,0.97,-5.10,53.00,0.00,88110,0.00
2017-01-03 19:00:00,0.97,-5.40,53.10,0.00,88060,0.00
2017-01-03 20:00:00,0.86,-5.60,55.30,0.00,88090,0.00
2017-01-03 21:00:00,0.86,-6.10,57.10,0.00,88100,0.00
2017-01-03 22:00:00,0.86,-6.40,56.30,0.00,88100,0.00
2017-01-03 23:00:00,0.65,-6.50,57.00,0.00,88040,0.00
2017-01-04 00:00:00,0.65,-6.70,58.80,0.00,88000,0.00
2017-01-04 01:00:00,0.54,-6.90,60.10,0.00,87960,0.00
2017-01-04 02:00:00,0.54,-6.90,59.90,0.00,87890,0.00
2017-01-04 03:00:00,0.54,-7.20,62.00,0.00,87850,0.00
2017-01-04 04:00:00,0.54,-7.20,61.50,0.00,87800,0.00
2017-01-04 05:00:00,0.75,-7.10,63.10,0.00,87690,0.00
2017-01-04 06:00:00,0.86,-6.50,59.30,0.00,87590,0.00
2017-01-04 07:00:00,0.86,-6.50,61.10,0.00,87500,0.00
2017-01-04 08:00:00,0.75,-6.50,63.40,0.00,87420,0.00
2017-01-04 09:00:00,0.75,-6.10,62.80,2.78,87390,0.00
2017-01-04 10:00:00,0.65,-5.60,64.40,11.11,87350,0.00
2017-01-04 11:00:00,0.75,-4.80,67.80,36.11,87280,0.00
2017-01-04 12:00:00,0.75,-3.60,68.30,58.33,87180,0.00
2017-01-04 13:00:00,1.29,-1.80,60.50,52.78,87070,0.00
2017-01-04 14:00:00,2.04,1.70,45.50,47.22,86920,0.00
