year,month,day,secchi disk [m]
2017,1,11,17.4
2017,4,19,15.9
2017,5,2,15.4
2017,6,13,10.8
2017,7,11,17.7
2017,8,1,18.8
2017,9,5,14.7
2017,10,4,16.8
2017,11,7,14.8
2017,12,5,11.4
2018,1,30,10.5
2018,4,23,13.0
2018,6,12,10.4
2018,7,9,11.5
2018,8,13,14.7
2018,9,10,16.2
2018,10,16,16.4
2018,12,5,4.5
2018,12,12,5.1
2019,1,22,8.4
2019,4,29,11.6
2019,5,14,12.4
2019,6,4,14.3
2019,7,2,10.9
2019,8,5,12.1
2019,9,10,13.1
2019,10,1,16.95
2019,11,14,17.05
2020,2,4,8.7
2020,5,11,11.4
2020,6,16,14.8
2020,7,14,11.6
2020,8,10,10.5
2020,9,8,15
2020,10,13,7.4
2020,11,2,13.8
2020,12,1,14.4
